Date,Tempreture
2014/11/1,14.2
2014/12/1,6.7
2015/1/1,5.8
2015/2/1,5.7
2015/3/1,10.3
2015/4/1,14.5
2015/5/1,21.1
2015/6/1,22.1
2015/7/1,26.2
2015/8/1,26.7
2015/9/1,22.6
2015/10/1,18.4
2015/11/1,13.9
2015/12/1,9.3
2016/1/1,6.1
2016/2/1,7.2
2016/3/1,10.1
2016/4/1,15.4
2016/5/1,20.2
2016/6/1,22.4
2016/7/1,25.4
2016/8/1,27.1
2016/9/1,24.4
2016/10/1,18.7
2016/11/1,11.4
2016/12/1,8.9
2017/1/1,5.8
2017/2/1,6.9
2017/3/1,8.5
2017/4/1,14.7
2017/5/1,20
2017/6/1,22
2017/7/1,27.3
2017/8/1,26.4
2017/9/1,22.8
2017/10/1,16.8
2017/11/1,11.9
2017/12/1,6.6
2018/1/1,4.7
2018/2/1,5.4
2018/3/1,11.5
2018/4/1,17
2018/5/1,19.8
2018/6/1,22.4
2018/7/1,28.3
2018/8/1,28.1
2018/9/1,22.9
2018/10/1,19.1
2018/11/1,14
2018/12/1,8.3
2019/1/1,5.6
2019/2/1,7.2
2019/3/1,10.6
2019/4/1,13.6
2019/5/1,20
2019/6/1,21.8
2019/7/1,24.1
2019/8/1,28.4
2019/9/1,25.1
2019/10/1,19.4
2019/11/1,13.1
2019/12/1,8.5
2020/1/1,7.1
2020/2/1,8.3
2020/3/1,10.7
2020/4/1,12.8
2020/5/1,19.5
2020/6/1,23.2
2020/7/1,24.3
2020/8/1,29.1
2020/9/1,24.2
2020/10/1,17.5
2020/11/1,14
2020/12/1,7.7
2021/1/1,5.4
2021/2/1,8.5
2021/3/1,12.8
2021/4/1,15.1
2021/5/1,19.6
2021/6/1,22.7
2021/7/1,25.9
2021/8/1,27.4
2021/9/1,22.3
2021/10/1,18.2
2021/11/1,13.7
2021/12/1,7.9
2022/1/1,4.9
2022/2/1,5.2
2022/3/1,10.9
2022/4/1,15.3
2022/5/1,18.8
2022/6/1,23
2022/7/1,27.4
2022/8/1,27.5
2022/9/1,24.4
2022/10/1,17.2
2022/11/1,14.5
2022/12/1,7.5
2023/1/1,5.7
2023/2/1,7.3
2023/3/1,12.9
2023/4/1,16.3
2023/5/1,19
2023/6/1,23.2
2023/7/1,28.7
2023/8/1,29.2
2023/9/1,26.7
2023/10/1,18.9
2023/11/1,14.4
2023/12/1,9.4
2024/1/1,7.1
2024/2/1,8
2024/3/1,9.6
2024/4/1,17.1
2024/5/1,20
2024/6/1,23.1
2024/7/1,28.7
2024/8/1,29
2024/9/1,26.6
2024/10/1,20.6
